iterations,expected value,max steps,time
635,-223.5,228,0.0
636,-264.4,160,0.0
637,-200.8,211,0.0
638,-146.4,156,0.0
639,-197.8,209,0.0
640,-319.5,1005,0.0
641,-206.8,377,0.0
642,-441.5,454,0.0
643,-282.6,240,0.0
644,-225.8,148,0.0
645,-230.1,165,0.0
646,-189.3,255,0.0
647,-922.1,146,0.0
648,-259.1,291,0.0
649,-208.7,163,0.0
650,-340.5,154,0.0
651,-214.0,145,0.0
652,-197.8,130,0.0
653,-285.2,114,0.0
654,-204.1,112,0.0
655,-194.1,107,0.0
656,-284.1,192,0.0
657,-242.3,153,0.0
658,-204.2,175,0.0
659,-239.1,235,0.0
660,-246.5,131,0.0
661,-229.2,393,0.0
662,-239.2,182,0.0
663,-253.4,192,0.0
664,-194.0,176,0.0
665,-210.8,148,0.0
666,-186.2,220,0.0
667,-183.4,162,0.0
668,-195.2,158,0.0
669,-347.2,131,0.0
670,-208.9,142,0.0
671,-1239.4,155,0.0
672,-262.4,152,0.0
673,-266.5,132,0.0
674,-235.8,130,0.0
675,-311.7,757,0.0
676,-224.8,133,0.0
677,-843.6,199,0.0
678,-234.6,541,0.0
679,-366.2,505,0.0
680,-335.3,267,0.0
681,-246.0,284,0.0
682,-208.4,202,0.0
683,-194.2,241,0.0
684,-235.4,174,0.0
685,-172.1,146,0.0
686,-216.0,222,0.0
687,-175.2,185,0.0
688,-282.3,320,0.0
689,-208.2,172,0.0
690,-248.4,263,0.0
691,-312.8,188,0.0
692,-270.5,177,0.0
693,-424.7,389,0.0
694,-372.0,164,0.0
695,-287.9,290,0.0
696,-371.4,174,0.0
697,-269.8,355,0.0
698,-263.7,218,0.0
699,-236.9,531,0.0
700,-269.9,317,0.0
701,-261.1,598,0.0
702,-449.1,211,0.0
703,-242.5,152,0.0
704,-302.6,841,0.0
705,-295.2,160,0.0
706,-566.3,554,0.0
707,-295.8,354,0.0
708,-191.1,172,0.0
709,-239.3,153,0.0
710,-290.3,145,0.0
711,-259.3,194,0.0
712,-267.6,160,0.0
713,-303.3,259,0.0
714,-280.5,361,0.0
715,-218.1,209,0.0
716,-269.1,239,0.0
